path,label,class
img/10000_dog.jpg,3,dog
img/1000_dog.jpg,3,dog
img/10015_dog.jpg,3,dog
img/10034_dog.jpg,3,dog
img/10061_dog.jpg,3,dog
img/10073_dog.jpg,3,dog
img/10083_dog.jpg,3,dog
img/10092_dog.jpg,3,dog
img/10105_dog.jpg,3,dog
img/10120_dog.jpg,3,dog
img/1016_dog.jpg,3,dog
img/10176_dog.jpg,3,dog
img/10182_dog.jpg,3,dog
img/10195_dog.jpg,3,dog
img/10202_dog.jpg,3,dog
img/10207_dog.jpg,3,dog
img/10222_dog.jpg,3,dog
img/10224_dog.jpg,3,dog
img/10231_dog.jpg,3,dog
img/10243_dog.jpg,3,dog
img/10259_dog.jpg,3,dog
img/10271_dog.jpg,3,dog
img/10295_dog.jpg,3,dog
img/10316_dog.jpg,3,dog
img/10319_dog.jpg,3,dog
img/10320_dog.jpg,3,dog
img/10325_dog.jpg,3,dog
img/1034_dog.jpg,3,dog
img/10367_dog.jpg,3,dog
img/10383_dog.jpg,3,dog
img/10398_dog.jpg,3,dog
img/10408_dog.jpg,3,dog
img/10411_dog.jpg,3,dog
img/10414_dog.jpg,3,dog
img/10424_dog.jpg,3,dog
img/10425_dog.jpg,3,dog
img/10430_dog.jpg,3,dog
img/10433_dog.jpg,3,dog
img/10472_dog.jpg,3,dog
img/10483_dog.jpg,3,dog
img/10485_dog.jpg,3,dog
img/10504_dog.jpg,3,dog
img/10510_dog.jpg,3,dog
img/10515_dog.jpg,3,dog
img/10516_dog.jpg,3,dog
img/10522_dog.jpg,3,dog
img/10542_dog.jpg,3,dog
img/10543_dog.jpg,3,dog
img/10550_dog.jpg,3,dog
img/10556_dog.jpg,3,dog
img/10557_dog.jpg,3,dog
img/10567_dog.jpg,3,dog
img/10587_dog.jpg,3,dog
img/10598_dog.jpg,3,dog
img/10600_dog.jpg,3,dog
img/10604_dog.jpg,3,dog
img/1062_dog.jpg,3,dog
img/10633_dog.jpg,3,dog
img/10658_dog.jpg,3,dog
img/10669_dog.jpg,3,dog
img/10670_dog.jpg,3,dog
img/10671_dog.jpg,3,dog
img/1067_dog.jpg,3,dog
img/10692_dog.jpg,3,dog
img/10693_dog.jpg,3,dog
img/10697_dog.jpg,3,dog
img/10704_dog.jpg,3,dog
img/10710_dog.jpg,3,dog
img/10711_dog.jpg,3,dog
img/10716_dog.jpg,3,dog
img/10725_dog.jpg,3,dog
img/10727_dog.jpg,3,dog
img/10738_dog.jpg,3,dog
img/1073_dog.jpg,3,dog
img/10740_dog.jpg,3,dog
img/10741_dog.jpg,3,dog
img/10745_dog.jpg,3,dog
img/10759_dog.jpg,3,dog
img/10760_dog.jpg,3,dog
img/10761_dog.jpg,3,dog
img/10769_dog.jpg,3,dog
img/10781_dog.jpg,3,dog
img/10801_dog.jpg,3,dog
img/10804_dog.jpg,3,dog
img/10821_dog.jpg,3,dog
img/1082_dog.jpg,3,dog
img/10832_dog.jpg,3,dog
img/10836_dog.jpg,3,dog
img/10845_dog.jpg,3,dog
img/10863_dog.jpg,3,dog
img/10864_dog.jpg,3,dog
img/10879_dog.jpg,3,dog
img/10881_dog.jpg,3,dog
img/10898_dog.jpg,3,dog
img/1089_dog.jpg,3,dog
